keyword_set,kw_id,kw_label_en,n_pairs,tp,tn,fp,fn,support_pos,support_neg,precision,recall,f1
k,65,family education,27792,202,17290,10214,86,288.0,27504.0,0.019393241167434717,0.7013888888888888,0.03774289985052317
k,13,relation with the natural world,27792,530,16870,10202,190,720.0,27072.0,0.04938501677226985,0.7361111111111112,0.09256025148445687
k,113,competition,27792,233,17227,10085,247,480.0,27312.0,0.022581895716224074,0.48541666666666666,0.043156140025930725
k,187,dreaming,27792,430,17282,9982,98,528.0,27264.0,0.041298501728774493,0.8143939393939394,0.07861060329067641
k,62,beauty,27792,587,17005,9971,229,816.0,26976.0,0.05559765107027846,0.7193627450980392,0.10321786530684016
k,10,meloncholy,27792,1062,15540,9900,1290,2352.0,25440.0,0.09688013136288999,0.45153061224489793,0.15953132041460116
k,23,fatigue,27792,331,17357,9811,293,624.0,27168.0,0.032636560836126996,0.530448717948718,0.06148987553408879
k,140,sex,27792,490,17423,9697,182,672.0,27120.0,0.04810052027093354,0.7291666666666666,0.09024772078460262
k,47,parents,27792,323,17721,9687,61,384.0,27408.0,0.03226773226773227,0.8411458333333334,0.06215124110063498
k,168,home-haven,27792,69,18058,9638,27,96.0,27696.0,0.0071082723807561555,0.71875,0.014077323268387227
k,56,friendship,27792,349,17747,9565,131,480.0,27312.0,0.03520274359491628,0.7270833333333333,0.06715412738118146
k,226,movement of the sixty-eight,27792,72,18138,9558,24,96.0,27696.0,0.007476635514018692,0.75,0.014805675508945097
k,78,movie,27792,653,17481,9543,115,768.0,27024.0,0.0640447234209494,0.8502604166666666,0.11911711054359723
k,37,childhood home,27792,266,17888,9472,166,432.0,27360.0,0.02731567056890532,0.6157407407407407,0.05231071779744347
k,46,love,27792,451,17802,9462,77,528.0,27264.0,0.04549581357812973,0.8541666666666666,0.08639019251029595
k,142,directors,27792,1519,16192,9440,641,2160.0,25632.0,0.13860753718404964,0.7032407407407407,0.23157252839393247
k,165,comedy,27792,49,18418,9278,47,96.0,27696.0,0.005253564919052214,0.5104166666666666,0.010400084898652235
k,7,body,27792,3660,12592,9248,2292,5952.0,21840.0,0.2835450883173226,0.6149193548387096,0.38812301166489926
k,87,actress by chance,27792,118,18357,9243,74,192.0,27600.0,0.012605490866360432,0.6145833333333334,0.024704281377577724
k,124,writing-freedom,27792,302,18078,9234,178,480.0,27312.0,0.03166946308724832,0.6291666666666667,0.060303514376996804
k,108,anti-fascism,27792,548,17887,9233,124,672.0,27120.0,0.05602699110520397,0.8154761904761905,0.10485028221563189
k,61,eroticism,27792,559,17752,9224,257,816.0,26976.0,0.057139936624757234,0.6850490196078431,0.10548164921218983
k,120,press and television,27792,125,18475,9173,19,144.0,27648.0,0.013443751344375135,0.8680555555555556,0.02647744122008049
k,109,theatrical debut,27792,195,18356,9148,93,288.0,27504.0,0.02087124050090977,0.6770833333333334,0.04049423735852974
k,130,photogenicity,27792,233,18357,9147,55,288.0,27504.0,0.02484008528784648,0.8090277777777778,0.04820024824162184
k,201,household chores,27792,74,18563,9133,22,96.0,27696.0,0.008037362876072554,0.7708333333333334,0.015908846608620877
k,198,spirituality,27792,85,18567,9129,11,96.0,27696.0,0.00922509225092251,0.8854166666666666,0.018259935553168637
k,232,losing home,27792,94,18544,9104,50,144.0,27648.0,0.010219612959338986,0.6527777777777778,0.020124170413187755
k,21,first theatrical experience,27792,272,18366,9042,112,384.0,27408.0,0.02920334979600601,0.7083333333333334,0.05609404000824912
k,179,camera,27792,232,18524,9028,8,240.0,27552.0,0.025053995680345574,0.9666666666666667,0.0488421052631579
k,123,first loves,27792,148,18585,9015,44,192.0,27600.0,0.01615191531157918,0.7708333333333334,0.03164083377872795
k,118,prizes,27792,259,18443,9013,77,336.0,27456.0,0.02793356341673857,0.7708333333333334,0.05391340549542049
k,83,production houses,27792,261,18445,9011,75,336.0,27456.0,0.028149266609145816,0.7767857142857143,0.054329725228975854
k,246,joy,27792,91,18749,8947,5,96.0,27696.0,0.010068599247621155,0.9479166666666666,0.01992555287935187
k,249,nuns,27792,118,18912,8736,26,144.0,27648.0,0.013327309690535352,0.8194444444444444,0.026228050677928428
k,255,anger,27792,89,18962,8734,7,96.0,27696.0,0.010087271902980845,0.9270833333333334,0.01995739432671824
k,154,feminism,27792,295,18589,8723,185,480.0,27312.0,0.03271235307163451,0.6145833333333334,0.062118340703305956
k,215,game,27792,137,18994,8654,7,144.0,27648.0,0.015584120122852917,0.9513888888888888,0.030665920537213204
k,103,breastfeeding,27792,88,19046,8650,8,96.0,27696.0,0.010070954451819639,0.9166666666666666,0.019923024677382842
k,159,faith,27792,146,18984,8616,46,192.0,27600.0,0.016662862360191738,0.7604166666666666,0.032611123520214426
k,48,childhood friends,27792,138,18906,8598,150,288.0,27504.0,0.015796703296703296,0.4791666666666667,0.030585106382978722
k,157,end of the career,27792,93,19054,8594,51,144.0,27648.0,0.010705652123863244,0.6458333333333334,0.02106216736496433
k,132,maternity,27792,653,18438,8490,211,864.0,26928.0,0.07142075905063984,0.7557870370370371,0.13050864394923556
k,94,being a diva,27792,834,17953,8447,558,1392.0,26400.0,0.08986100635707359,0.5991379310344828,0.15628220743933288
k,136,movie industry,27792,615,18610,8414,153,768.0,27024.0,0.06811385535496733,0.80078125,0.1255486373379606
k,234,sisters,27792,165,19181,8323,123,288.0,27504.0,0.019439208294062205,0.5729166666666666,0.03760255241567912
k,110,cinecittà,27792,405,19040,8320,27,432.0,27360.0,0.046418338108882524,0.9375,0.08845691820465218
k,224,second wave feminism,27792,60,19399,8249,84,144.0,27648.0,0.007221085569864003,0.4166666666666667,0.01419614338104815
k,35,love and passion,27792,837,18252,8244,459,1296.0,26496.0,0.09217046580773043,0.6458333333333334,0.16131830008673026
k,40,clothes,27792,419,18990,8226,157,576.0,27216.0,0.048467322151532675,0.7274305555555556,0.09087951415247802
k,174,sexual violence,27792,364,19146,8166,116,480.0,27312.0,0.042672919109026965,0.7583333333333333,0.08079911209766927
k,240,violence,27792,869,18605,8131,187,1056.0,26736.0,0.09655555555555556,0.8229166666666666,0.17283214001591088
k,84,career end,27792,98,19545,8103,46,144.0,27648.0,0.01194976222411901,0.6805555555555556,0.02348711803475135
k,185,marriage,27792,287,19405,8051,49,336.0,27456.0,0.03442072439433917,0.8541666666666666,0.06617477519022366
k,29,cinematographic debut,27792,304,19400,7912,176,480.0,27312.0,0.03700097370983447,0.6333333333333333,0.06991720331186753
k,33,sons and daughters,27792,179,19634,7870,109,288.0,27504.0,0.022238787427009566,0.6215277777777778,0.04294110591339811
k,203,trips,27792,200,19662,7794,136,336.0,27456.0,0.02501876407305479,0.5952380952380952,0.048019207683073224
k,194,fandom,27792,115,19773,7731,173,288.0,27504.0,0.014657150140198827,0.3993055555555556,0.028276370789279567
k,220,jewels,27792,80,20010,7686,16,96.0,27696.0,0.010301313417460727,0.8333333333333334,0.020351055711015007
k,248,eyes,27792,131,20038,7610,13,144.0,27648.0,0.01692287818111355,0.9097222222222222,0.03322764743183259
k,19,theater,27792,1387,18603,7605,197,1584.0,26208.0,0.1542482206405694,0.8756313131313131,0.26229198184568836
k,182,beauty contests,27792,152,20325,7275,40,192.0,27600.0,0.020465867779722632,0.7916666666666666,0.0399002493765586
k,121,making cinema,27792,608,19708,7268,208,816.0,26976.0,0.07719654647028949,0.7450980392156863,0.13989875747814082
k,153,patriarchal education,27792,260,20012,7252,268,528.0,27264.0,0.03461128860489883,0.49242424242424243,0.0646766169154229
